pair,Word_Number,type,total,other,other_word,correct,wrong,Threshold,Correct_Percentage,Wrong_Percentage
1,1.0,C,34.0,6.0,9.0,19.0,15.0,4527.701148967716,0.5588235294117647,0.4411764705882353
1,2.0,C,35.0,4.0,17.0,14.0,21.0,3743.4885400231037,0.4,0.6
2,1.0,C,36.0,5.0,16.0,15.0,21.0,5463.037291355506,0.4166666666666667,0.5833333333333334
2,2.0,C,35.0,4.0,13.0,18.0,17.0,5303.018221636929,0.5142857142857142,0.4857142857142857
3,1.0,C,34.0,5.0,15.0,14.0,20.0,3374.0563089546863,0.4117647058823529,0.5882352941176471
3,2.0,C,33.0,0.0,13.0,20.0,13.0,3350.4897428971985,0.6060606060606061,0.3939393939393939
4,1.0,C,40.0,5.0,15.0,20.0,20.0,3971.9902820627353,0.5,0.5
4,2.0,C,39.0,6.0,17.0,16.0,23.0,4179.155093010551,0.41025641025641024,0.5897435897435898
5,1.0,C,42.0,4.0,20.0,18.0,24.0,4881.437624509028,0.42857142857142855,0.5714285714285714
5,2.0,C,41.0,2.0,18.0,21.0,20.0,4659.844929711393,0.5121951219512195,0.4878048780487805
6,1.0,C,34.0,7.0,14.0,13.0,21.0,5520.443002093132,0.38235294117647056,0.6176470588235294
6,2.0,C,34.0,4.0,10.0,20.0,14.0,6318.128588577428,0.5882352941176471,0.4117647058823529
7,1.0,C,40.0,1.0,17.0,22.0,18.0,3658.589824988907,0.55,0.45
7,2.0,C,39.0,1.0,24.0,14.0,25.0,4407.508524687938,0.358974358974359,0.6410256410256411
8,1.0,C,37.0,6.0,17.0,14.0,23.0,3867.832237392081,0.3783783783783784,0.6216216216216216
8,2.0,C,34.0,0.0,13.0,21.0,13.0,5271.673039348458,0.6176470588235294,0.38235294117647056
9,1.0,C,34.0,4.0,11.0,19.0,15.0,5602.79872540111,0.5588235294117647,0.4411764705882353
9,2.0,C,36.0,5.0,17.0,14.0,22.0,5506.915991278802,0.3888888888888889,0.6111111111111112
10,1.0,C,39.0,4.0,16.0,19.0,20.0,3338.153825216542,0.48717948717948717,0.5128205128205128
10,2.0,C,38.0,2.0,19.0,17.0,21.0,4345.5477388973095,0.4473684210526316,0.5526315789473685
11,1.0,C,38.0,7.0,14.0,17.0,21.0,4830.500136018191,0.4473684210526316,0.5526315789473685
11,2.0,C,38.0,0.0,14.0,24.0,14.0,6018.911124591702,0.631578947368421,0.3684210526315789
12,1.0,C,29.0,5.0,10.0,14.0,15.0,7947.4810745108725,0.4827586206896552,0.5172413793103449
12,2.0,C,29.0,1.0,12.0,16.0,13.0,9082.917483429199,0.5517241379310345,0.4482758620689655
13,1.0,C,33.0,4.0,10.0,19.0,14.0,5354.153814229008,0.5757575757575758,0.42424242424242425
13,2.0,C,33.0,4.0,14.0,15.0,18.0,5544.008875079891,0.45454545454545453,0.5454545454545454
14,1.0,C,39.0,0.0,21.0,18.0,21.0,9417.725230792925,0.46153846153846156,0.5384615384615384
14,2.0,C,39.0,3.0,18.0,18.0,21.0,8511.355377979975,0.46153846153846156,0.5384615384615384
15,1.0,C,32.0,4.0,10.0,18.0,14.0,6116.0771379416465,0.5625,0.4375
15,2.0,C,33.0,5.0,15.0,13.0,20.0,5873.523277070814,0.3939393939393939,0.6060606060606061
16,1.0,C,32.0,0.0,15.0,17.0,15.0,8337.409395439627,0.53125,0.46875
16,2.0,C,40.0,0.0,20.0,20.0,20.0,6585.255452560495,0.5,0.5
17,1.0,C,33.0,4.0,16.0,13.0,20.0,5050.201017871188,0.3939393939393939,0.6060606060606061
17,2.0,C,31.0,2.0,10.0,19.0,12.0,6919.585248226174,0.6129032258064516,0.3870967741935484
18,1.0,C,34.0,2.0,13.0,19.0,15.0,6443.867602940723,0.5588235294117647,0.4411764705882353
18,2.0,C,39.0,3.0,10.0,26.0,13.0,3497.736368936911,0.6666666666666666,0.3333333333333333
19,1.0,C,37.0,3.0,14.0,20.0,17.0,5419.342569054619,0.5405405405405406,0.4594594594594595
19,2.0,C,36.0,2.0,18.0,16.0,20.0,6014.896009379292,0.4444444444444444,0.5555555555555556
20,1.0,C,38.0,3.0,15.0,20.0,18.0,8074.42999495558,0.5263157894736842,0.47368421052631576
20,2.0,C,37.0,5.0,10.0,22.0,15.0,6589.350359326014,0.5945945945945946,0.40540540540540543
21,1.0,C,32.0,5.0,12.0,15.0,17.0,8736.967061637944,0.46875,0.53125
21,2.0,C,30.0,4.0,11.0,15.0,15.0,8739.37678556372,0.5,0.5
22,1.0,C,37.0,4.0,17.0,16.0,21.0,4022.9272210067898,0.43243243243243246,0.5675675675675675
22,2.0,C,38.0,5.0,11.0,22.0,16.0,3517.646760732333,0.5789473684210527,0.42105263157894735
23,1.0,C,39.0,4.0,13.0,22.0,17.0,4301.320422650265,0.5641025641025641,0.4358974358974359
23,2.0,C,41.0,4.0,19.0,18.0,23.0,5719.571448823807,0.43902439024390244,0.5609756097560976
24,1.0,C,38.0,1.0,12.0,25.0,13.0,2423.769502484524,0.6578947368421053,0.34210526315789475
24,2.0,C,39.0,7.0,18.0,14.0,25.0,2123.1253098681213,0.358974358974359,0.6410256410256411
25,1.0,C,39.0,4.0,15.0,20.0,19.0,3601.5115600669756,0.5128205128205128,0.48717948717948717
25,2.0,C,38.0,5.0,18.0,15.0,23.0,5233.939265470741,0.39473684210526316,0.6052631578947368
26,1.0,C,36.0,1.0,16.0,19.0,17.0,4819.8764204068,0.5277777777777778,0.4722222222222222
26,2.0,C,36.0,5.0,14.0,17.0,19.0,5052.127309404602,0.4722222222222222,0.5277777777777778
