pair,Word_Number,type,total,other,other_word,correct,wrong,Threshold,Correct_Percentage,Wrong_Percentage
1,1.0,F,40.0,1.0,16.0,23.0,17.0,5117.719329907889,0.575,0.425
1,2.0,F,41.0,4.0,18.0,19.0,22.0,5611.4199023770525,0.4634146341463415,0.5365853658536586
2,1.0,F,41.0,1.0,17.0,23.0,18.0,5216.949786428746,0.5609756097560976,0.43902439024390244
2,2.0,F,43.0,5.0,19.0,19.0,24.0,4343.4823063803315,0.4418604651162791,0.5581395348837209
3,1.0,F,41.0,5.0,20.0,16.0,25.0,4464.578689532921,0.3902439024390244,0.6097560975609756
3,2.0,F,43.0,3.0,21.0,19.0,24.0,3956.5707249156085,0.4418604651162791,0.5581395348837209
4,1.0,F,42.0,4.0,19.0,19.0,23.0,4142.5110655888375,0.4523809523809524,0.5476190476190477
4,2.0,F,42.0,4.0,16.0,22.0,20.0,3299.8055105719313,0.5238095238095238,0.47619047619047616
5,1.0,F,42.0,0.0,19.0,23.0,19.0,4448.0942959220465,0.5476190476190477,0.4523809523809524
5,2.0,F,41.0,0.0,15.0,26.0,15.0,3843.2647537495714,0.6341463414634146,0.36585365853658536
6,1.0,F,42.0,4.0,12.0,26.0,16.0,5475.028133555943,0.6190476190476191,0.38095238095238093
6,2.0,F,40.0,5.0,15.0,20.0,20.0,5789.939104824117,0.5,0.5
7,1.0,F,44.0,3.0,19.0,22.0,22.0,4538.785965336077,0.5,0.5
7,2.0,F,44.0,5.0,20.0,19.0,25.0,4372.54205558861,0.4318181818181818,0.5681818181818182
8,1.0,F,46.0,6.0,17.0,23.0,23.0,4458.946840165582,0.5,0.5
8,2.0,F,44.0,1.0,24.0,19.0,25.0,5196.674946743004,0.4318181818181818,0.5681818181818182
9,1.0,F,42.0,5.0,20.0,17.0,25.0,4853.823211377409,0.40476190476190477,0.5952380952380952
9,2.0,F,42.0,3.0,20.0,19.0,23.0,4708.471903492316,0.4523809523809524,0.5476190476190477
10,1.0,F,44.0,3.0,14.0,27.0,17.0,3688.899703305471,0.6136363636363636,0.38636363636363635
10,2.0,F,46.0,7.0,17.0,22.0,24.0,2988.1724481716406,0.4782608695652174,0.5217391304347826
11,1.0,F,45.0,5.0,17.0,23.0,22.0,3550.2351099617686,0.5111111111111111,0.4888888888888889
11,2.0,F,46.0,4.0,23.0,19.0,27.0,3806.476994084386,0.41304347826086957,0.5869565217391305
12,1.0,F,45.0,6.0,19.0,20.0,25.0,5367.808911310324,0.4444444444444444,0.5555555555555556
12,2.0,F,43.0,0.0,18.0,25.0,18.0,5974.52699682885,0.5813953488372093,0.4186046511627907
13,1.0,F,44.0,5.0,18.0,21.0,23.0,4499.676043255471,0.4772727272727273,0.5227272727272727
13,2.0,F,44.0,4.0,19.0,21.0,23.0,4163.110037615916,0.4772727272727273,0.5227272727272727
14,1.0,F,45.0,3.0,21.0,21.0,24.0,5508.842433624897,0.4666666666666667,0.5333333333333333
14,2.0,F,44.0,3.0,18.0,23.0,21.0,5553.871512517214,0.5227272727272727,0.4772727272727273
15,1.0,F,43.0,3.0,14.0,26.0,17.0,4555.0809568729655,0.6046511627906976,0.3953488372093023
15,2.0,F,42.0,1.0,22.0,19.0,23.0,4128.131159389172,0.4523809523809524,0.5476190476190477
16,1.0,F,42.0,3.0,21.0,18.0,24.0,3860.78544852442,0.42857142857142855,0.5714285714285714
16,2.0,F,43.0,2.0,29.0,12.0,31.0,4068.4551800496947,0.27906976744186046,0.7209302325581395
17,1.0,F,41.0,3.0,20.0,18.0,23.0,5644.74442083803,0.43902439024390244,0.5609756097560976
17,2.0,F,41.0,5.0,17.0,19.0,22.0,5127.812744075883,0.4634146341463415,0.5365853658536586
18,1.0,F,46.0,1.0,16.0,29.0,17.0,4764.959824968443,0.6304347826086957,0.3695652173913043
18,2.0,F,47.0,10.0,12.0,25.0,22.0,3266.778803344068,0.5319148936170213,0.46808510638297873
19,1.0,F,46.0,5.0,14.0,27.0,19.0,4160.945657010226,0.5869565217391305,0.41304347826086957
19,2.0,F,42.0,2.0,23.0,17.0,25.0,4548.653434105131,0.40476190476190477,0.5952380952380952
20,1.0,F,45.0,1.0,23.0,21.0,24.0,4879.233374047247,0.4666666666666667,0.5333333333333333
